# FIX-956 + FIX-939 — merge-stub marker conversion manifest (prod, 2026-09-05)
# 86 stubs carrying the legacy scalar 'merged_fec_candidate_id'
# 86 CONVERT (exactly one elected survivor) / 0 REFUSED (0 or >1)
#
# REVERSAL RECIPE — source_ids_before is the verbatim pre-write value of each row.
# To undo a single row:
#   UPDATE public.officials SET source_ids = '<source_ids_before>'::jsonb WHERE id = '<stub_id>';
# To undo the whole set, replay that statement for every CONVERT row in this file.
#
stub_id	stub_name	stub_tier	stub_is_active	retired_fec_candidate_id	survivor_id	survivor_name	n_survivors	action	refusal_reason	source_ids_before
cdb0ae22-2167-4f92-a64d-88f50bcc47ec	Lou Correa	candidate	true	H6CA46116	715601ce-05c6-4ec2-b87f-49b22a78bb92	J. Luis Correa	1	CONVERT		{"merged_fec_candidate_id": "H6CA46116"}
96fd8a5b-75eb-4bcd-b879-a2a527ca47b9	M Brown	candidate	true	H2OH11169	f29bbd4e-944f-4840-adbd-16a4706a3c02	Shontel M. Brown	1	CONVERT		{"merged_fec_candidate_id": "H2OH11169"}
25658ab8-8873-447e-94b8-533340aefc98	Marc Veasey	candidate	true	H2TX33073	5505bb05-21da-43a8-ac46-4129cb3aac36	Marc A. Veasey	1	CONVERT		{"merged_fec_candidate_id": "H2TX33073"}
b7da95c4-d545-4664-a733-88f44ad1d3f2	Mark Amodei	candidate	true	H2NV02395	cdc760ec-68a6-4548-9aa1-5d44691b2feb	Mark E. Amodei	1	CONVERT		{"merged_fec_candidate_id": "H2NV02395"}
662bb3ef-b34a-43a5-b3e1-a0a68de85855	Mark Warner	candidate	true	S6VA00093	9539fa43-d1b6-42f6-bf08-e340ee807265	Mark R. Warner	1	CONVERT		{"merged_fec_candidate_id": "S6VA00093"}
06398880-9c38-4062-8fb2-41013b5eb75c	Matthew Van Epps	candidate	true	H6TN07161	99cc88f5-3d91-4f38-b527-e0e789c590f0	Matt Van Epps	1	CONVERT		{"merged_fec_candidate_id": "H6TN07161"}
a80eefae-4493-4a67-acc6-b5ccb60bc696	Mazie Hirono	candidate	true	S2HI00106	b077712a-90d1-43db-a6c9-d057ae821844	Mazie K. Hirono	1	CONVERT		{"merged_fec_candidate_id": "S2HI00106"}
78557dbe-29b7-41ac-abbb-a34804bad1f5	Melanie Stansbury	candidate	true	H2NM01144	e2a7052a-c479-4809-aaed-09fb2dae9f56	Melanie A. Stansbury	1	CONVERT		{"merged_fec_candidate_id": "H2NM01144"}
1e1d4736-f8ce-406e-a41f-1664bbbe5238	Michael Bost	candidate	true	H4IL12060	f698f0b9-abff-48f6-b93b-b666a288c407	Mike Bost	1	CONVERT		{"merged_fec_candidate_id": "H4IL12060"}
c64ec823-5bb2-4e9e-8cc2-5fbc3791260d	Michael Collins	candidate	true	H4GA10071	ee27066e-5f25-4abd-85c1-2a98de6e5bf6	Mike Collins	1	CONVERT		{"merged_fec_candidate_id": "H4GA10071"}
3b663a06-8835-4795-8ff7-61416a31f934	Michael Crapo	candidate	true	S8ID00027	6f0aabbc-6365-4e59-ac1b-4efad1f71fcb	Mike Crapo	1	CONVERT		{"merged_fec_candidate_id": "S8ID00027"}
372a3da9-531f-48dd-8338-b3d9c3c10440	Michael Rogers	candidate	true	H2AL03032	aeeb1dd5-c6fe-4d29-b3c7-edc4f85032b0	Mike D. Rogers	1	CONVERT		{"merged_fec_candidate_id": "H2AL03032"}
2c8bee43-2cf6-4648-9709-b93b0363f7e8	Michael Rulli	candidate	true	H4OH06165	88a14539-802f-4837-b025-0a4872fcc5ef	Michael A. Rulli	1	CONVERT		{"merged_fec_candidate_id": "H4OH06165"}
67cd3fd1-5678-4327-acfc-c6b40c6401b0	Nicholas Begich	candidate	true	H2AK01083	9ff6da5e-a169-4959-bed8-41e91e3f23ba	Nicholas J. Begich	1	CONVERT		{"merged_fec_candidate_id": "H2AK01083"}
f3587a20-41e9-49da-a84d-9cc3024b8c42	Nicholas Lalota	candidate	true	H0NY02200	61087125-2853-42af-9d0c-c82e73812411	Nick LaLota	1	CONVERT		{"merged_fec_candidate_id": "H0NY02200"}
72fc7aa5-5d96-4219-9b87-5c1d5dc29b87	Peter Stauber	candidate	true	H8MN08043	cf50b397-1865-4a86-bcb0-50a3604fe84e	Pete Stauber	1	CONVERT		{"merged_fec_candidate_id": "H8MN08043"}
5e14566f-2dec-4d43-908c-7fe2c22ad18b	Rafael Cruz	candidate	true	S2TX00312	a350def0-25fe-423d-b613-e273dc23ea84	Ted Cruz	1	CONVERT		{"merged_fec_candidate_id": "S2TX00312"}
b6fcabd9-fa57-4d1b-ba45-d488f6ba98f5	Randall Feenstra	candidate	true	H0IA04145	d27a1829-c668-4f5d-977c-3bd5f06335bf	Randy Feenstra	1	CONVERT		{"merged_fec_candidate_id": "H0IA04145"}
37f0714a-0dff-449b-8f1f-75038215a073	Raul Ruiz	candidate	true	H2CA36439	2b30b530-c56a-46d8-b4fb-483b35b3133c	Raul Ruiz	1	CONVERT		{"merged_fec_candidate_id": "H2CA36439"}
5798c09a-3426-4dd8-a1f2-9e74f8bae7d1	Rebecca Balint	candidate	true	H2VT01076	055f3efc-d3b0-4396-a644-4abd1500f4ff	Becca Balint	1	CONVERT		{"merged_fec_candidate_id": "H2VT01076"}
1b92e82e-780c-4563-952f-2c1bfa843021	Robert Aderholt	candidate	true	H6AL04098	f5d2947d-3e5a-4898-9b1c-956a98423e60	Robert B. Aderholt	1	CONVERT		{"merged_fec_candidate_id": "H6AL04098"}
71d0de6f-67d9-416d-b9ee-0c1edb5aef2a	Robert Latta	candidate	true	H8OH05036	bcba5e69-f3c1-459f-a7bd-7df4d5022329	Robert E. Latta	1	CONVERT		{"merged_fec_candidate_id": "H8OH05036"}
958f9931-46b1-454f-9efe-02389a917218	Rohit Khanna	candidate	true	H4CA12055	eef91ab4-495d-4d32-9b2e-faa59fa19f60	Ro Khanna	1	CONVERT		{"merged_fec_candidate_id": "H4CA12055"}
189c74a9-2fd0-490c-b11f-8d68c1c414f6	Rosa Delauro	candidate	true	H0CT03072	d060a859-e7b0-4365-bcc5-f252270b32a7	Rosa L. DeLauro	1	CONVERT		{"merged_fec_candidate_id": "H0CT03072"}
d374964b-0353-4749-a3e6-2f59b0d7faf8	S Guthrie	candidate	true	H8KY02031	06d1e5b4-90ce-4aca-b06a-51c194e51861	Brett Guthrie	1	CONVERT		{"merged_fec_candidate_id": "H8KY02031"}
