holder_id	full_name	role_title	tier	jurisdiction	holder_fec_id	verdict	holder_rows	shared_rows	stale_rows	stale_usd	stale_share	live_rows_newer_than_contamination	owner_name	owner_fec_id	owner_role
033ba554-ee71-4609-b531-1252ce4ee531	Tom Cotton	Senator	elected	AR	S4AR00103	REFUSE-weak-overlap	2569	6	6	19500.00	1.0000	2566	Thomas Cotton	H2AR04083	Candidate for Senator
1fab6b07-4a86-47fe-bfb9-e5b88920ba61	Melissa Hernandez	Candidate for Representative	candidate	CA	H6CA14163	REFUSE-weak-overlap	372	17	16	19250.00	0.9412	211	Daniel Hernandez	H6AZ07105	Candidate for Representative
3184bde8-987b-4140-9859-94b57c5da040	Maria Su	Council Member	elected	SF	H6IL09210	REFUSE-weak-overlap	5	5	5	19015.00	1.0000	0	Dongbo Su	H6IL09210	Candidate for Representative
2e4ee0fd-f4da-41e3-835d-09056a9af6b3	Jeffrey Sutton	Federal Judge	elected	US		REFUSE-weak-overlap	9	8	8	18956.00	1.0000	0	Lisa Sutton	H0NV04056	Candidate for Representative
181dd383-a682-4cb7-b19d-5276b44e3f3e	David Kim	Candidate for Representative	candidate	CA	H4CA34083	REFUSE-weak-overlap	274	12	12	18150.00	1.0000	110	Andy Kim	S4NJ00466	Senator
08b8cf09-559a-46d1-854b-05f1886e4fea	Gloria Johnson	Candidate for Senator	candidate	TN	S4TN00526	REFUSE-weak-overlap	3149	13	8	17800.00	0.6154	26	Julie Johnson	H4TX32089	Representative
17376219-7437-41da-9731-0a885ecba6e2	John Kennedy	Senator	elected	LA	S4LA00065	REFUSE-weak-overlap	6536	15	9	17625.00	0.6000	425	Timothy Kennedy	H4NY26078	Candidate for Representative
5373491c-cfc4-4aab-b681-7fb6f85aecb4	Adam Gray	Representative	elected	CA	H2CA13115	REFUSE-weak-overlap	4700	11	2	17500.00	0.1818	108	Molly Gray	H2VT01068	Candidate for Representative
9dd0c3bc-ae02-4354-90cd-daad43592a33	Kate Gibbs	Candidate for Representative	candidate	NJ	H0NJ03211	REFUSE-weak-overlap	27	4	2	17500.00	0.5000	20	Robert Gibbs	H0OH18077	Candidate for Representative
4c2c4e54-562d-45fb-b9c6-76e309962b39	Kermit Jones	Candidate for Representative	candidate	CA	H2CA04122	REFUSE-weak-overlap	106	23	3	17000.00	0.1304	73	Mondaire Jones	H0NY17174	Candidate for Representative
9220a26b-93a6-4b7c-bd29-acfb2544ba97	Katherine M. Clark	Representative	elected	MA	H4MA05084	REFUSE-weak-overlap	2836	5	5	17000.00	1.0000	714	Jasmine Clark	H6GA13070	Candidate for Representative
b9f695d4-1b3e-4fd6-87a2-c9f1b1673605	Wesley Bell	Representative	elected	MO	H4MO01134	REFUSE-weak-overlap	5237	8	8	16800.00	1.0000	1281	Adrienne Bell	H8TX14120	Candidate for Representative
981e4f8a-d489-4a96-a8c4-88b630d7bdd0	Denise Powell	Candidate for Representative	candidate	NE	H6NE02174	REFUSE-weak-overlap	848	6	5	16749.00	0.8333	677	Nate Powell	H6WA05239	Candidate for Representative
8a4e1b00-fe98-49fc-aecd-327bec820908	Rebecca Duran	Council Member	elected	SEA	H0CO01136	REFUSE-weak-overlap	2	2	2	16571.00	1.0000	0	Crisanta Duran	H0CO01136	Candidate for Representative
587b2513-5591-4652-80e7-8991ff22ec7e	Addison P. McDowell	Representative	elected	NC	H4NC06177	REFUSE-weak-overlap	852	18	18	16561.00	1.0000	804	Chase Mcdowell	H6AR02278	Candidate for Representative
9920ccf7-6857-40b8-8ef6-fe3798074acc	Andy Biggs	Representative	elected	AZ	H6AZ05083	REFUSE-weak-overlap	637	10	6	16500.00	0.6000	161	Sheri Biggs	H4SC01313	Representative
db4e6705-9909-47a7-addb-465be4bf0448	Nabil Khazei	Council Member	elected	AUS	H0MA04176	REFUSE-weak-overlap	6	6	6	16500.00	1.0000	0	Alan Khazei	H0MA04176	Candidate for Representative
52b45bc3-c657-4107-a2ae-8215abe22df5	Kate Dean	Candidate for Representative	candidate	WA	H4WA06125	REFUSE-weak-overlap	36	36	36	16500.00	1.0000	0	Madeleine Dean	H8PA04116	Representative
f697a9e5-080a-4b9a-9240-211ad695a192	Brian Schatz	Senator	elected	HI	S4HI00136	REFUSE-weak-overlap	1157	4	4	16500.00	1.0000	233	Dave Schatz	S2MO00643	Candidate for Senator
77876d7b-223f-4b6b-8e01-8b6403e33878	Josh Williams	Candidate for Representative	candidate	OH	H6OH09131	REFUSE-weak-overlap	285	18	8	15980.00	0.4444	60	Lily Williams	H2NH02260	Candidate for Representative
ba6db8d4-526d-4df4-9f08-1a509a20354b	Robert Kennedy	Candidate for President	candidate	US	P40011793	REFUSE-weak-overlap	20092	19	19	15863.00	1.0000	442	John Kennedy	S4LA00065	Senator
354a140c-950b-4bbe-a6a8-485e26fb98ae	Eric Stockton	Council Member	elected	AUS	H4FL06055	REFUSE-weak-overlap	23	23	23	15850.00	1.0000	0	James Stockton	H4FL06055	Candidate for Representative
62831aa5-7d58-45d5-bb1c-b3758ff54523	Karen Bowers	Council Member	elected	AUS	H4TX32147	REFUSE-weak-overlap	31	31	31	15550.00	1.0000	0	Rhetta Bowers	H4TX32147	Candidate for Representative
bfab24a8-8104-4497-a1bd-5a168f448e19	Monica De La Cruz	Representative	elected	TX	H0TX15124	REFUSE-weak-overlap	3284	7	5	15500.00	0.7143	1557	Jessica De La Cruz	H2RI02168	Candidate for Representative
4b0aebf5-393d-44bd-8c37-4a522bb67f7d	Shawn Tiffany	Candidate for Representative	candidate	KS	H4KS02172	REFUSE-low-share	259	259	5	15500.00	0.0193	0	Thomas P. Tiffany	H0WI07101	Representative
c74a2ac0-c1b8-4526-9022-0ce6464c05fc	Jill Goodman	Council Member	elected	AUS	S6IL00425	REFUSE-weak-overlap	13	13	13	15483.00	1.0000	0	John Goodman	S6IL00425	Candidate for Senator
0ef55b11-b253-4056-be90-9ed60355d4aa	Lily Williams	Candidate for Representative	candidate	NH	H2NH02260	REFUSE-weak-overlap	652	18	10	15166.00	0.5556	118	Josh Williams	H6OH09131	Candidate for Representative
66438dc5-7f8a-4343-9885-b2aa15353592	Jonathan Evans	Candidate for Representative	candidate	WV	H4WV01058	REFUSE-weak-overlap	323	24	24	15075.00	1.0000	2	Gabe Evans	H4CO08034	Representative
a92cfc2e-4214-49b0-b854-f35079002c6f	Alexander Green	Candidate for Representative	candidate	TX	H4TX09095	REFUSE-weak-overlap	796	10	4	15000.00	0.4000	35	Mark Green	H8TN07076	Candidate for Representative
43ee1bdc-97e7-4641-a8ff-90b701f0877c	Sue Blackman	Council Member	elected	SF	H2AZ01339	REFUSE-weak-overlap	4	4	4	15000.00	1.0000	0	Walter Blackman	H2AZ01339	Candidate for Representative
eb6e7f4c-dc9c-47c5-a016-5d499dccd0ac	Bonnie Coleman	Candidate for Representative	candidate	NJ	H4NJ12149	REFUSE-weak-overlap	801	7	4	15000.00	0.5714	166	Jeff Coleman	H0AL02145	Candidate for Representative
553496bd-1a1e-4363-ae19-0971cf11e0df	Molly Gray	Candidate for Representative	candidate	VT	H2VT01068	REFUSE-weak-overlap	25	11	3	15000.00	0.2727	13	Adam Gray	H2CA13115	Representative
909a86cb-74a3-4546-89f8-6f54f8386707	Genevieve Collins	Candidate for Representative	candidate	TX	H0TX32087	REFUSE-weak-overlap	132	11	6	14500.00	0.5455	47	Douglas Collins	S0GA00567	Candidate for Senator
e5aaf27d-cd87-46b4-b4ba-b8e18fc56461	Gregory F. Murphy	Representative	elected	NC	H0NC03172	REFUSE-weak-overlap	2055	11	6	14500.00	0.5455	1039	Christopher Murphy	S2CT00132	Senator
e23ed64a-424c-4f92-8268-c370bfff42d1	Bradley Walker	Candidate for Senator	candidate	NC	S2NC00307	REFUSE-weak-overlap	158	3	3	14500.00	1.0000	5	Herschel Walker	S2GA00225	Candidate for Senator
e2ba899a-02dc-4f37-8256-218c82322df6	Laurie Mackenzie	Candidate for Representative	candidate	CA	H6CA04198	REFUSE-weak-overlap	5	4	4	14000.00	1.0000	0	Ryan Mackenzie	H8PA15195	Representative
d693d1d3-844e-4e9e-9fa8-f26f90c0414b	Mark Smith	Candidate for Representative	candidate	SC	H6SC01250	REFUSE-weak-overlap	257	4	4	13500.00	1.0000	1	Adam Smith	H6WA09025	Representative
a6ba6b9c-0f7b-4767-bee8-4f7d8d2c6b42	Katherine Clark	Candidate for Representative	candidate	MA	H4MA05084	REFUSE-weak-overlap	1301	5	3	13500.00	0.6000	503	Jasmine Clark	H6GA13070	Candidate for Representative
2e604187-f386-4d41-814b-d696d839d867	Kevin Kiley	Representative	elected	CA	H2CA03157	REFUSE-weak-overlap	2410	6	5	13300.00	0.8333	39	Susan Kiley	H2NJ06228	Candidate for Representative
27ee0faf-2c40-4dad-9c34-98652a4f4562	Christopher R. Deluzio	Representative	elected	PA	H2PA17103	REFUSE-weak-overlap	3240	5	5	13000.00	1.0000	3262	Mark Deluzio	H2AZ02402	Candidate for Representative
e27b3904-0f64-46c9-894a-4fd9716d09b5	Cal Cunningham	Candidate for Senator	candidate	NC	S0NC00202	REFUSE-weak-overlap	154	15	3	12999.00	0.2000	119	Joe Cunningham	H8SC01116	Candidate for Representative
cea60af5-6425-43cb-af21-e6c4cabab238	Charles Booker	Candidate for Senator	candidate	KY	S6KY00385	REFUSE-weak-overlap	170	9	8	12750.00	0.8889	8	Cory Booker	S4NJ00185	Candidate for Senator
b3f125d8-fa54-4a52-bd93-c5f769b45fd3	James P. McGovern	Representative	elected	MA	H4MA03022	REFUSE-weak-overlap	1052	14	14	12750.00	1.0000	981	Jay Mcgovern	H4FL05123	Candidate for Representative
9e99cae2-0330-4997-9552-254657cfaadd	Monica Miranda	Council Member	elected	AUS	H6CA47072	REFUSE-weak-overlap	6	6	6	12354.00	1.0000	0	Hunter Miranda	H6CA47072	Candidate for Representative
322698df-1587-431c-8655-03139146f2b1	Chuck Edwards	Representative	elected	NC	H2NC14050	REFUSE-weak-overlap	1026	2	2	12000.00	1.0000	544	Becky Edwards	H4UT02254	Candidate for Representative
29714b2c-42bf-4b43-a82d-60785caa4af7	Linda Sanchez	Candidate for Representative	candidate	CA	H2CA39078	REFUSE-weak-overlap	1489	2	2	12000.00	1.0000	364	Joseph Sanchez	H0NM03078	Candidate for Representative
8bd09aa3-bb57-4d50-b0b5-b27135931ae4	Maura Sullivan	Candidate for Representative	candidate	NH	H8NH01186	REFUSE-weak-overlap	1154	8	5	12000.00	0.6250	585	Dan Sullivan	S4AK00214	Senator
1a30221d-0447-4c0a-8264-95698d83341d	Johnny Garcia	Candidate for Representative	candidate	TX	H6TX35095	REFUSE-weak-overlap	158	3	3	12000.00	1.0000	120	Jesus Garcia	H8IL04134	Candidate for Representative
722a7d0e-3a7e-4ad9-8032-ec96c156a9f8	Jeff Coleman	Candidate for Representative	candidate	AL	H0AL02145	REFUSE-weak-overlap	53	7	2	12000.00	0.2857	7	Bonnie Coleman	H4NJ12149	Candidate for Representative
970a2044-6c1b-4414-a255-241b941138de	Brigid Harrison	Candidate for Representative	candidate	NJ	H0NJ02197	REFUSE-weak-overlap	12	8	3	12000.00	0.3750	7	Jaime Harrison	S0SC00289	Candidate for Senator
