# FIX-1106 emit-set residue manifest -- prod -- generated 2026-09-22T04:22:42.006Z
# cycle=2026 source=fec_bulk_indiv run_id=748aef69-4dd5-5cf9-bd75-570f482bc8dc complete_at=2026-09-21 00:20:29.915408+00
# emit set 1,015,185 keys; slice 1,059,817 rows / $1,314,241,322
# DROPPED-OUT 36 recipients / 19397 rows / $31,130,142
# PARTIAL     427 recipients / 25235 rows / $36,181,097
# This file is an AUTHORISATION, not a description. The apply re-checks every
# row-level fact keyed on these ids and SKIPS anything that grew since.
class	to_type	to_id	name	rows	cents	last_write	emitted_rows
DROPPED-OUT	official	189c433a-02f9-42db-bb00-6b4f7208cb70	Saikat Chakrabarti	104	12445000	2026-06-07 07:39:02.722052+00	0
PARTIAL	official	442e7a70-f213-4643-bbc8-22881516a7f1	Rick W. Allen	141	12280400	2026-05-03 00:40:56.861849+00	320
DROPPED-OUT	official	eb6e7f4c-dc9c-47c5-a016-5d499dccd0ac	Bonnie Coleman	111	12214800	2026-08-24 04:41:50.636211+00	0
PARTIAL	official	67e0e5f3-c20e-439b-b8c9-2e804aecf1df	Hillary J. Scholten	147	12135100	2026-05-14 22:55:23.565666+00	1063
PARTIAL	official	d892fbd5-e01e-42db-ab7f-12fe68b5af1e	Abraham Enriquez	9	11175000	2026-06-14 07:21:39.501112+00	220
PARTIAL	official	bfab24a8-8104-4497-a1bd-5a168f448e19	Monica De La Cruz	57	10381500	2026-07-06 07:04:31.688681+00	1961
DROPPED-OUT	official	75457ef3-f40c-47d3-82d7-51b6333ceb8e	Madison Sheahan	53	9623500	2026-07-13 07:07:15.48734+00	0
PARTIAL	official	500c86c9-17f5-48d7-b43a-5b53499c33d3	Charles Park	71	7927500	2026-08-09 16:42:14.482156+00	346
PARTIAL	official	d9bb22a8-efeb-40f0-b2a9-3fb4cac91502	Sara Jacobs	48	7775000	2026-07-22 05:26:48.008879+00	242
PARTIAL	official	5c0f123b-92b9-40ff-9145-5bc8f5e2c4d0	Derek Tran	126	7687300	2026-07-06 07:41:45.97336+00	1923
PARTIAL	official	4a209d60-9d09-46a6-82d9-794b22ec0a69	Pete Ricketts	15	7594000	2026-09-14 23:43:38.294728+00	819
PARTIAL	official	9b60e52e-0858-4b0a-bafa-045208e4835a	Max L. Miller	96	7176900	2026-05-14 22:55:23.565666+00	397
PARTIAL	official	fa237ff5-a496-4f4a-97cb-fed07a08efd0	Bill Cassidy	3	6891100	2026-07-30 22:40:05.852089+00	1189
DROPPED-OUT	official	bb7600c1-23a6-40ed-bd2a-01b706352983	Paul Maddox	81	6870000	2026-07-13 07:12:03.611531+00	0
PARTIAL	official	18c46a64-d7e4-4044-a3d9-d5329dd498db	Margaret Wood Hassan	64	6554000	2026-05-11 03:17:58.192847+00	1243
PARTIAL	official	e959c169-7cf4-4e0a-9901-17fbbd25e7f6	John Braun	22	5789100	2026-07-27 07:35:07.575877+00	802
PARTIAL	official	319a9553-63ae-4763-b5d0-bfeee0ac987a	Adam Smith	36	5548000	2026-05-11 03:17:58.192847+00	857
PARTIAL	official	97ff9034-0fae-495a-b9eb-8bec92187845	Donald G. Davis	62	5529600	2026-05-03 00:40:20.260796+00	1325
PARTIAL	official	1d3d4317-58e8-4818-a174-593b4f000d63	Josh Gottheimer	10	5420000	2026-07-06 06:54:34.058034+00	1234
PARTIAL	official	48d00a31-e153-4503-9e8a-5519739fb8e5	Mike Thompson	39	5135700	2026-09-13 23:25:48.390554+00	1529
PARTIAL	official	03200fc2-a0e5-4f47-aebe-b2ba86a5e2a4	John W. Mannion	63	5115500	2026-09-17 00:23:44.88845+00	1021
PARTIAL	official	4f9c372a-f214-4d51-b287-815244a9f1f7	J. French Hill	21	4967000	2026-07-30 22:40:05.852089+00	999
PARTIAL	official	1fab6b07-4a86-47fe-bfb9-e5b88920ba61	Melissa Hernandez	32	4928300	2026-08-24 04:21:14.11625+00	1058
PARTIAL	official	e3489960-7d46-4e26-a7a0-f733ec7543ba	Henry Cuellar	57	4850000	2026-08-09 16:36:15.982497+00	648
PARTIAL	official	26be1547-1b37-40fb-b061-f9d7e451c481	Scott Wiener	18	4765000	2026-08-09 16:36:15.982497+00	2141
PARTIAL	official	11aee30b-9eef-47ae-ba3e-5d89ad17a378	Melissa Bailey	32	4530000	2026-06-21 08:01:17.807396+00	89
PARTIAL	official	b7dca556-1290-48b5-9ab6-45ad1a80171d	Marilyn Strickland	45	4113500	2026-07-09 06:09:10.854122+00	657
PARTIAL	official	87a9b478-4776-484f-869a-e44319811efa	Julie Johnson	17	3939700	2026-07-06 07:45:30.582198+00	801
PARTIAL	official	16e68f8f-fff8-4a30-a9a8-c9d4f8a9ffcc	Beth Macy	16	3825000	2026-07-27 07:11:29.784475+00	1106
PARTIAL	official	46bdb81f-c5ca-4b5d-abc6-67128379d2c3	Sylvia R. Garcia	68	3630100	2026-05-03 00:40:56.156086+00	217
PARTIAL	official	6b2fea3f-b5fb-4903-b57a-2c6a5ae0401e	Cory A. Booker	20	3577100	2026-09-17 00:23:44.88845+00	7350
PARTIAL	official	d57fe605-7a45-43c4-9aa8-d1bb3c890981	Jeff Wilson	6	3255000	2026-09-01 01:03:39.337316+00	75
PARTIAL	official	52b04f5f-b4b9-4f08-a66c-81bc7db1756c	Earl Carter	10	3212500	2026-06-28 07:49:24.028933+00	1210
PARTIAL	official	8fc27278-43cc-4f58-9a77-46527969f1cf	Scott Colom	24	3175000	2026-06-21 08:01:04.174121+00	1193
PARTIAL	official	dca79f6f-c8a2-4651-9a9c-d74b13d773c7	Pete Aguilar	40	3070100	2026-07-09 06:13:09.471559+00	981
PARTIAL	official	39f916d7-ced4-4d93-aa61-768cd37bca10	Daniel S. Goldman	8	3030000	2026-09-17 00:23:44.88845+00	2514
PARTIAL	official	22a4b727-05b3-4cf5-9a56-c28be63c8254	Steve Womack	23	2962600	2026-08-03 05:48:48.60994+00	426
PARTIAL	official	ad19d059-43bf-4671-b47a-70e9896924ca	Janelle Stelson	19	2900000	2026-07-27 07:35:31.679266+00	2743
PARTIAL	official	6d871965-c58b-4472-b05b-826a4f30f9ea	Scott Perry	1	2838500	2026-07-06 07:36:37.648058+00	1902
PARTIAL	official	a8beedce-d116-42e2-8416-140485446c89	Jeff Hurd	28	2824400	2026-09-17 00:23:44.88845+00	767
PARTIAL	official	a42cd1a2-aa86-4e4a-9d46-069b5081ad98	Bradley Scott Schneider	14	2700000	2026-07-13 07:09:00.251968+00	1124
PARTIAL	official	74349a45-3cad-4f5a-9638-fb850bbec59d	Michael R. Turner	10	2695000	2026-06-28 07:19:45.121085+00	135
PARTIAL	official	d69e20ca-d921-4201-a4b4-d06fa585c939	Aaron Gies	32	2625000	2026-06-28 07:49:24.028933+00	191
PARTIAL	official	3c836a54-8ebf-4f8d-8031-12cdc12ac2ee	Neal P. Dunn	30	2525000	2026-05-03 00:40:57.273335+00	159
PARTIAL	official	27ca9c28-401b-4ef4-af99-19cbba6cd23d	Michael Farrell	1	2423400	2026-06-28 07:22:04.731893+00	18
DROPPED-OUT	official	7809c88e-39cc-404c-bfbf-dce85d13fe70	Brian Mcginnis	30	2417400	2026-06-07 07:20:46.878956+00	0
PARTIAL	official	9cf06ac2-9899-4af4-8a91-31c6b110a338	Eric Schmitt	13	2407300	2026-07-27 07:03:49.919262+00	1544
PARTIAL	official	c95b2355-5c65-46c3-9739-d981b3b42b8d	Margaret Flanagan	19	2382500	2026-08-24 04:37:20.268804+00	3091
PARTIAL	official	9d49d9f3-8229-49ec-9b22-5c64e3cc7c18	Tom Cole	20	2340200	2026-07-10 06:11:02.688717+00	927
PARTIAL	official	1e7b4217-8b8c-49cf-9b14-3ad6c853615d	Cindy Hyde-Smith	1	2300100	2026-07-07 06:18:59.053641+00	1209
PARTIAL	official	6303328b-3166-441a-b100-839d7565e8c1	Ethan Agarwal	6	2258400	2026-07-26 07:16:32.218671+00	215
PARTIAL	official	9539fa43-d1b6-42f6-bf08-e340ee807265	Mark R. Warner	16	2210000	2026-07-27 07:10:22.827838+00	5521
PARTIAL	official	65ddb438-3379-4be2-9840-a9814df73183	James Gallagher	3	2190000	2026-07-13 06:26:50.482409+00	709
PARTIAL	official	c188643b-c931-46e0-84ec-6496c723a59c	Jared Moskowitz	2	2125000	2026-07-06 07:25:51.763161+00	1220
PARTIAL	official	e100ce6d-6f7a-4dd7-bf01-55d1f0aca5ba	Sean Mccann	31	2035900	2026-07-27 07:32:19.610806+00	1427
DROPPED-OUT	official	c3b5b52a-e783-494e-8e18-58a0b7372022	Jennifer Adams	27	1990000	2026-07-13 06:58:32.230318+00	0
PARTIAL	official	718051ac-a1a0-4eb4-8ac6-d6dc3a15507b	Lauren Underwood	11	1905000	2026-07-06 07:21:25.547692+00	1112
PARTIAL	official	a2b0463c-385a-41bd-8c2b-099149183d08	Cori Bush	16	1860000	2026-08-24 04:43:21.736621+00	626
PARTIAL	official	d27677c8-783e-442e-82a5-fc81342b05b7	William Hilleary	7	1829200	2026-08-24 04:07:40.489346+00	666
PARTIAL	official	9ce68fc2-d172-44a3-9774-f43434017379	David Huebner	16	1819500	2026-06-21 07:29:59.210772+00	64
PARTIAL	official	def93e3c-3ff7-43e9-914d-0a759c431ca8	Cait Conley	11	1800000	2026-06-28 07:46:25.25761+00	2092
PARTIAL	official	dfcc82ad-8423-47e2-b587-bd22239a889e	Eric Burlison	4	1800000	2026-08-24 04:25:35.735042+00	471
PARTIAL	official	306b852e-a44a-464e-86e7-9e49afd5544b	Tom Barrett	15	1753100	2026-08-24 04:38:52.33582+00	1584
PARTIAL	official	63415f29-9934-44a2-aa03-096193847b00	Bobby Pulido	18	1725900	2026-07-27 07:37:00.253738+00	1152
PARTIAL	official	587b2513-5591-4652-80e7-8991ff22ec7e	Addison P. McDowell	19	1706100	2026-05-11 03:17:58.192847+00	286
PARTIAL	official	22968ada-413a-45a2-a344-c67431ae4cb4	Ronny Jackson	6	1695200	2026-07-06 07:14:40.730292+00	1560
PARTIAL	official	cc176738-deaf-47fd-bb19-7d1be76f6db7	Eric Flores	17	1550000	2026-08-24 04:42:21.568958+00	575
PARTIAL	official	88a14539-802f-4837-b025-0a4872fcc5ef	Michael A. Rulli	1	1500000	2026-07-27 06:51:55.034528+00	199
PARTIAL	official	4d168a70-716e-4769-8c5e-7ce9458bebd0	Ryan Mackenzie	5	1450000	2026-09-14 23:44:42.978455+00	765
PARTIAL	official	36cf9142-1a65-425d-80c4-34c1e41b59f5	Sam T. Liccardo	3	1420000	2026-05-03 00:40:28.79004+00	680
PARTIAL	official	abb34630-05d0-451f-b7c4-cc4363682f58	John Cowan	6	1406100	2026-07-27 07:11:12.664723+00	330
PARTIAL	official	5da96cec-7f4c-4d90-ad6c-a555d2d2fe31	Seth Moulton	11	1400000	2026-06-28 07:42:32.254734+00	2805
PARTIAL	official	91bcb8d8-3674-4538-92c1-64e905b55c89	Mike Flood	3	1400000	2026-08-17 03:52:12.090522+00	624
PARTIAL	official	56e923f8-cac9-41c2-ba28-8e32dd35ef3a	Edward Fitzgerald	16	1360000	2026-05-17 06:34:06.917283+00	59
PARTIAL	official	880f2f37-67d7-4bce-b7fb-5a5a5eee78e6	Joanna Mendoza	6	1322900	2026-08-24 04:37:20.268804+00	2748
PARTIAL	official	65a7b3c1-923f-4ede-aae5-8ad940d9b041	Robert White	8	1295100	2026-07-27 07:37:00.253738+00	573
PARTIAL	official	e2124c27-e31f-40c8-b61e-80b2de5df7f6	Sean Casten	10	1280500	2026-08-24 04:39:42.54198+00	766
PARTIAL	official	affee169-448b-4ee3-a201-a940aa8bd8bc	Adrian Mapp	6	1265000	2026-07-27 07:32:02.575614+00	288
PARTIAL	official	8ca50c62-16f0-4c57-8554-6450860f8cd1	Austin Ahlman	3	1250000	2026-08-17 03:52:19.479248+00	69
PARTIAL	official	b4d9b9c3-80c8-44ea-9803-77222147b129	Jessica Steinmann	4	1250000	2026-05-31 07:33:27.282079+00	341
PARTIAL	official	35bb4faa-f4a2-4be4-862d-dfeeff5388bb	Effie Phillips-Staley	9	1225000	2026-06-28 07:37:04.556594+00	342
PARTIAL	official	5373491c-cfc4-4aab-b681-7fb6f85aecb4	Adam Gray	4	1187300	2026-07-06 07:31:07.200721+00	1227
PARTIAL	official	32e61ff4-94cb-4ec0-87be-f8357214aaa8	Mark Alford	8	1150000	2026-08-24 04:24:24.378368+00	527
