# FIX-1106 emit-set residue manifest -- prod -- generated 2026-09-22T04:26:06.156Z
# cycle=2026 source=fec_bulk_pac run_id=2fe769fb-8307-5b02-9657-9799dfcc44ea complete_at=2026-09-20 22:54:52.472768+00
# emit set 112,592 keys; slice 114,893 rows / $440,080,672
# DROPPED-OUT 18 recipients / 315 rows / $1,290,240
# PARTIAL     194 recipients / 1986 rows / $7,811,207
# This file is an AUTHORISATION, not a description. The apply re-checks every
# row-level fact keyed on these ids and SKIPS anything that grew since.
class	to_type	to_id	name	rows	cents	last_write	emitted_rows
PARTIAL	official	9cfbadf5-8c95-4a6b-9def-f1b3f84a2225	Bernie Moreno	1	500000	2026-09-13 22:55:23.608106+00	102
PARTIAL	official	a090e2a0-4e9f-4dec-9420-bea450496595	James Ford	1	500000	2026-08-08 03:35:26.632984+00	9
PARTIAL	official	a4bd7dd5-332f-49f6-a6f0-aeefe320cdda	Martha Guerrero	1	500000	2026-08-02 05:53:52.455119+00	1
PARTIAL	official	ace3cb8d-5942-4f0f-b853-672d5144e795	Andrea Salinas	1	500000	2026-08-08 03:34:43.917805+00	236
PARTIAL	official	b507141a-2bc8-4a8e-84fc-8fbef8a86f81	Brittany Pettersen	1	500000	2026-08-08 03:34:43.917805+00	293
PARTIAL	official	b96f75ed-f480-4d5e-84fc-99c8fc16798f	Paul A. Gosar	1	500000	2026-09-01 00:31:01.587865+00	22
PARTIAL	official	c1807a26-31f4-4830-a8f2-7e7270f0a822	Laurel M. Lee	1	500000	2026-07-12 05:42:08.118604+00	302
PARTIAL	official	ca610f24-c365-4a9a-8415-6bdb581e9e14	Jimmy Panetta	1	500000	2026-08-24 03:15:20.560396+00	434
PARTIAL	official	d27a1829-c668-4f5d-977c-3bd5f06335bf	Randy Feenstra	1	500000	2026-06-21 07:02:26.441551+00	234
PARTIAL	official	d4f8dc70-5534-46d7-89bc-acba4f288a3e	Marni Von Wilpert	1	500000	2026-08-08 22:51:53.536906+00	124
PARTIAL	official	46e7762c-6af8-441c-a104-5f63f0ffcf93	Rhett Marques	1	450000	2026-08-08 03:34:53.277327+00	46
PARTIAL	official	183692c1-0f15-4366-bc3e-ed0621f47e29	Elizabeth Warren	1	400000	2026-07-08 05:22:55.935221+00	8
PARTIAL	official	366d02c6-1f6d-4d30-b80a-71ff4d92f8d0	Randy Villegas	2	400000	2026-08-08 03:35:05.588567+00	80
DROPPED-OUT	official	c3b5b52a-e783-494e-8e18-58a0b7372022	Jennifer Adams	3	387100	2026-07-13 05:45:35.202633+00	0
PARTIAL	official	46d45b0e-bdac-46e1-9a78-e2227a8ecc48	Jake Ellzey	2	350000	2026-08-08 03:34:34.962484+00	216
PARTIAL	official	8ed0d7ca-af58-40ae-9d44-55828414c78d	Mike Lee	1	350000	2026-08-08 22:51:53.536906+00	75
PARTIAL	official	03200fc2-a0e5-4f47-aebe-b2ba86a5e2a4	John W. Mannion	2	350000	2026-09-07 07:15:10.683876+00	258
PARTIAL	official	a060ecc9-08eb-4d29-8c53-f787d7cc94ba	Andrew R. Garbarino	1	350000	2026-09-01 00:31:07.701278+00	444
PARTIAL	official	348f51ce-7dfc-4d87-8c5b-0966ee16637e	Warren Davidson	2	350000	2026-07-06 07:49:44.018214+00	96
PARTIAL	official	3c836a54-8ebf-4f8d-8031-12cdc12ac2ee	Neal P. Dunn	2	350000	2026-05-02 22:37:13.371398+00	192
PARTIAL	official	747c96d0-962a-4448-a405-e055dbce8f69	Robert Menendez	2	300000	2026-09-17 23:19:32.042663+00	244
PARTIAL	official	d0ac116d-2f62-4dd3-8589-53e4756882bc	John Thune	1	300000	2026-08-08 22:47:35.426466+00	180
PARTIAL	official	ca5a63af-f92c-450a-a502-74471d4e1a79	Rebecca Bennett	1	300000	2026-08-08 03:34:43.917805+00	85
PARTIAL	official	e3a94a66-61db-4833-8b02-1a60feabab7d	Herbert C. Conaway	3	300000	2026-05-02 22:37:10.325002+00	146
