holder_id	full_name	role_title	tier	jurisdiction	holder_fec_id	verdict	holder_rows	shared_rows	stale_rows	stale_usd	stale_share	live_rows_newer_than_contamination	owner_name	owner_fec_id	owner_role
a82935e7-bb8f-4860-a186-c8ea46250e4e	Robert Garcia	Representative	elected	CA	H2CA47188	REFUSE-weak-overlap	5059	292	119	478400.00	0.4075	32	Sylvia R. Garcia	H8TX29052	Representative
77f2b4c7-d1d0-4f44-bef9-2b5158385d5e	Harold Rogers	Representative	elected	KY	H0KY05015	REFUSE-weak-overlap	1452	248	107	472200.00	0.4315	12	Mike D. Rogers	H2AL03032	Representative
33603f98-c597-4c3c-8419-90a5a5361252	Norma J. Torres	Representative	elected	CA	H4CA35031	REFUSE-weak-overlap	951	162	89	465550.00	0.5494	24	Ritchie Torres	H0NY15160	Representative
f4953d9b-71b1-42aa-aec0-2675e7cd2178	Christopher H. Smith	Representative	elected	NJ	H8NJ04014	REFUSE-weak-overlap	1629	140	83	460768.00	0.5929	49	Adam Smith	H6WA09025	Representative
4e02dac9-3175-4ab9-ab5d-589f16fb735b	Troy Carter	Candidate for Representative	candidate	LA	H2LA02149	REFUSE-weak-overlap	750	183	127	456865.00	0.6940	0	Earl L. "Buddy" Carter	H4GA01039	Representative
2e9627b3-28a5-4026-a42e-54b16a7f8805	Mike Levin	Representative	elected	CA	H8CA49058	REFUSE-weak-overlap	6503	210	84	448886.00	0.4000	180	Andy Levin	H8MI09118	Candidate for Representative
c6dbd5bb-cb0e-4974-bcb7-a3ac47ec973e	Thomas P. Tiffany	Representative	elected	WI	H0WI07101	REFUSE-weak-overlap	1677	259	255	448716.00	0.9846	38	Shawn Tiffany	H4KS02172	Candidate for Representative
8ed0d7ca-af58-40ae-9d44-55828414c78d	Mike Lee	Senator	elected	UT	S0UT00165	REFUSE-weak-overlap	5769	104	92	447800.00	0.8846	25	Susie Lee	H6NV04020	Representative
e244c281-afe9-4c4e-8db4-baaf28140ce0	Stephanie Murphy	Candidate for Representative	candidate	FL	H6FL07140	REFUSE-weak-overlap	1020	121	88	447000.00	0.7273	116	Gregory F. Murphy	H0NC03172	Representative
43fee7e7-d8ee-4a06-95a9-86fcb83d3689	Norma Torres	Candidate for Representative	candidate	CA	H4CA35031	REFUSE-weak-overlap	433	98	91	446750.00	0.9286	2	Ritchie Torres	H0NY15160	Representative
4ae687b8-dd8a-480e-b6c4-45df9beac5d4	Blake D. Moore	Representative	elected	UT	H0UT01205	REFUSE-weak-overlap	2416	265	85	439000.00	0.3208	67	Gwen Moore	H4WI04183	Representative
3f355499-5163-4da0-a460-6d3e8b90cd49	Mike Johnson	Representative	elected	LA	H6LA04138	REFUSE-weak-overlap	4454	346	64	437350.00	0.1850	87	Dusty Johnson	H8SD01055	Representative
5d2f194d-74d8-4d1a-b257-759b5474e745	Gwen Moore	Representative	elected	WI	H4WI04183	REFUSE-weak-overlap	1383	265	84	434500.00	0.3170	44	Blake D. Moore	H0UT01205	Representative
b2c36d20-1aa2-4d02-b630-cdcccf8e0f42	Summer L. Lee	Representative	elected	PA	H2PA18200	REFUSE-weak-overlap	3118	170	137	432194.00	0.8059	19	Susie Lee	H6NV04020	Representative
46bdb81f-c5ca-4b5d-abc6-67128379d2c3	Sylvia R. Garcia	Representative	elected	TX	H8TX29052	REFUSE-weak-overlap	1463	158	113	419719.00	0.7152	27	Michael Garcia	H0CA25105	Candidate for Representative
8364f702-c803-4a59-b103-836fb13727e3	John Huffman	Candidate for Representative	candidate	TX	H4TX26180	REFUSE-dormant	237	237	228	410127.00	0.9620	9	Jared Huffman	H2CA06259	Representative
4b462f5c-7ad8-4eed-8027-3b4d28a8e05a	Don Davis	Candidate for Representative	candidate	NC	H2NC02287	REFUSE-weak-overlap	820	77	77	407636.00	1.0000	13	Danny K. Davis	H4IL07037	Representative
5e72c9ea-44f4-4e2c-b5e9-1570750f7cc2	Carol D. Miller	Representative	elected	WV	H8WV03097	REFUSE-weak-overlap	2153	239	106	403462.00	0.4435	32	Max L. Miller	H2OH16051	Representative
9cf06ac2-9899-4af4-8a91-31c6b110a338	Eric Schmitt	Senator	elected	MO	S2MO00544	REFUSE-weak-overlap	3774	151	113	390975.00	0.7483	209	Colin Schmitt	H2NY18087	Candidate for Representative
96fd8a5b-75eb-4bcd-b879-a2a527ca47b9	M Brown	Candidate for Representative	candidate	OH	H2OH11169	REFUSE-weak-overlap	3497	259	113	389600.00	0.4363	38	Sherrod Brown	S6OH00163	Candidate for Senator
84b91068-ab4b-4e2a-88cc-2113d126065e	John J. McGuire	Representative	elected	VA	H0VA07133	REFUSE-weak-overlap	623	234	234	387079.00	1.0000	35	Mike Mcguire	H6CA01269	Candidate for Representative
1f0fcc25-c88d-4112-9e90-e873d106d32d	Gilbert Ray Cisneros	Representative	elected	CA	H8CA39174	REFUSE-weak-overlap	584	74	70	366364.00	0.9459	235	Jessica Cisneros	H0TX28077	Candidate for Representative
bb4891c2-feaf-4a7f-931f-b3ca448d97ee	Bennie Thompson	Candidate for Representative	candidate	MS	H4MS02068	REFUSE-weak-overlap	201	86	70	362000.00	0.8140	8	Mike Thompson	H8CA01109	Representative
62f20246-2e87-413f-ba44-41277124fa33	Grey Mills	Candidate for Representative	candidate	NC	H4NC10112	REFUSE-low-share	170	170	160	360375.00	0.9412	3	Cory Mills	H2FL07156	Representative
bdc0684e-215a-4490-9116-c69539536666	Sheila Lee	Candidate for Representative	candidate	TX	H4TX18054	REFUSE-weak-overlap	761	131	93	357150.00	0.7099	7	Susie Lee	H6NV04020	Representative
