# FIX-937 — non-federal-role officials carrying an FEC H/S/P CAND_ID (INACTIVE, prod, 2026-09-05)
# 115 officials, 62 holding fec_bulk donation rows
# 2,590 rows / $4,459,571.00
# with a federal official legitimately holding the same CAND_ID: 62
#
# A Council Member / Article III judge cannot stand for federal office, so the
# carried CAND_ID is not theirs and these donation rows are another person's money.
# REMEDIATION goes through the FIX-954 machinery (audit -> manifest -> apply ->
# rollup tail), NEVER a bare DELETE — the deleted rows' recipients must go dirty
# so jobid 24's donor-rollup regime rebuilds them.
#
official_id	full_name	role_title	tier	is_active	jurisdiction	carried_cand_id	federal_owner_id	federal_owner_name	federal_owner_role	fec_rows	fec_cents	cycles	first_at	last_at
ffd9233e-1d94-44c9-b455-99e241a2e52c	Andres Power	Council Member	elected	false	SF	H6FL02315	b9ea5760-23b1-4804-92c7-c99f7ce6bae6	Evan Power	Candidate for Representative	3	700000	1	2026-01-14	2026-02-04
feb35388-9d04-4e75-864f-233735093de1	Leslie Katz	Council Member	elected	false	SF	S6DE00206	5d990eae-7201-47b4-aa7e-e70c9f8dc629	Michael Katz	Candidate for Senator	3	550000	1	2026-03-04	2026-03-05
96b19b40-342c-4177-81fe-640ab442423b	Jema Turk	Council Member	elected	false	SF	H6MO05189	11079e2b-d7ee-4487-a71c-90e49c65fb8f	Jacob Turk	Candidate for Representative	1	500000	1	2022-10-24	2022-10-24
f8eb4447-778f-44f8-a912-2e88094c005c	Rich Bailey	Council Member	elected	false	AUS	H2CA52154	ec060d19-20b0-43f3-8773-fc3998fb6f24	Richard Bailey	Candidate for Representative	1	500000	1	2021-09-22	2021-09-22
c7975ec7-ff24-49db-a707-d225cb1abc73	Maria Stuart	Council Member	elected	false	AUS	S4OH00226	279bfb8d-b9d1-48bd-ae69-e2202d736a1c	Douglas Stuart	Candidate for Senator	6	480000	1	2023-08-22	2023-09-28
f4745d1c-c3d4-46c3-a230-e95deb529140	John Carroll	Council Member	elected	false	SF	P00013771	cd99d5b3-ae47-4d58-8019-9c76d35ba0b8	Brian Carroll	Candidate for President	1	396600	1	2020-10-28	2020-10-28
9f0b4952-f622-4720-8e7c-498bba257508	Dori Cho	Council Member	elected	false	SEA	H4NJ05135	be16c671-7aeb-4e5c-befb-2b2681b6c4bf	Roy Cho	Candidate for Representative	2	330000	2	2024-10-09	2025-10-09
3992716c-3e98-4f50-9757-ae76b083d73c	Tom Fulmer	Council Member	elected	false	AUS	H6SC01300	69d1921f-ec28-4c3f-9836-640903d3c525	Matthew Fulmer	Candidate for Representative	4	295000	1	2025-12-12	2026-03-18
535dd9cb-fef0-4a15-a408-5f96b04c5460	Chelsea Pfeifer	Council Member	elected	false	AUS	H4MO02108	66f6ac6a-7565-45d3-ae08-9bd1ce1afe7f	Peter Pfeifer	Candidate for Representative	5	275000	1	2024-03-27	2024-06-22
c57ad7b9-7328-405f-a0d5-7e17d380b2e0	Leslie Tello	Council Member	elected	false	AUS	H6IL07479	22eaa53d-127a-4fd4-af5f-251260fdd983	Felix Tello	Candidate for Representative	2	260000	1	2025-09-05	2025-09-18
1295f5c5-5c73-4b59-9bd6-8fc37b4d1ba7	Ammie Calderon	Council Member	elected	false	AUS	H0CA53131	21f01e25-0291-4b06-8a53-ca56eccf09e2	Marisa Calderon	Candidate for Representative	1	250000	1	2019-11-26	2019-11-26
1bb47808-7952-4bf6-b45e-74992c889b6f	Michelle Rich	Council Member	elected	false	AUS	S8NM00200	6fa9f68f-138f-4e92-9f30-c025b8679d30	Mick Rich	Candidate for Senator	1	250000	1	2019-09-24	2019-09-24
fd98e2eb-019e-4298-a7e7-f046a1edf439	Phimy Truong	Council Member	elected	false	SF	H0VA10194	17e78ec9-9a16-4160-a418-aaa039deddcd	Matthew Truong	Candidate for Representative	1	230000	1	2020-05-16	2020-05-16
79103a92-0f8d-4973-b5a2-a5c8ab1a7e2b	AnMarie Rodgers	Council Member	elected	false	SF	H2TX30236	2d28bff8-558a-4a0c-a35a-03052ed1fe4e	James Rodgers	Candidate for Representative	1	200000	1	2022-11-02	2022-11-02
a9983f2f-aa61-4e8c-815d-d5abd5c24176	Alvin Moses	Council Member	elected	false	SF	S4TN00575	387218d1-adcd-4b3e-9815-8560382fc441	Pamela Moses	Candidate for Senator	4	177500	1	2024-06-07	2024-10-19
6541e5cd-3a36-4031-be26-9c209c46557d	Kimberly Williams	Council Member	elected	false	AUS	H0CA16112	03a7b402-4a13-4fa3-8d13-2963d3f54c82	Kim Williams	Candidate for Representative	2	175000	1	2019-08-16	2020-02-25
15b805f5-f526-42a0-ac4d-0d3c3368c7b8	Joe Silva	Council Member	elected	false	AUS	H4WA01282	e772196c-651c-4b32-a64d-94f3a8625eb5	Mary Silva	Candidate for Representative	3	105000	1	2024-02-01	2024-09-20
ebd49f2e-6ccb-40e5-91d6-ea955392c7d8	Maxwell Burke	Council Member	elected	false	SEA	H6TN01537	3396e12d-ec65-4270-97f0-0437e1bb2f55	Kristi Burke	Candidate for Representative	4	102800	2	2023-03-13	2026-03-06
aa76cc1b-ff34-42e8-8cbc-c009d4f7a6ae	Gloria Esparza	Council Member	elected	false	AUS	H6TX28082	14c0c205-3e02-448b-8592-b6b27643b3c8	Juan Esparza	Candidate for Representative	2	100000	1	2025-06-04	2025-06-04
fc2bd152-60f1-44a7-9890-b06023a1d949	Theresa Sparks	Council Member	elected	false	SF	H0CA45129	a56fb4b6-3931-4a75-ad95-7149b80b128a	Lisa Sparks	Candidate for Representative	1	100000	1	2020-02-11	2020-02-11
c36a5893-c051-43bc-ab96-10b506fb9280	Micah Ellison	Council Member	elected	false	SEA	S2FL00458	0c1b071b-4855-457b-9929-193e581ed4bc	Allen Ellison	Candidate for Senator	1	100000	1	2021-03-22	2021-03-22
1fb0f2a8-bfce-4592-b784-e45fae070602	David Potter	Council Member	elected	false	AUS	H0OH07153	477366e6-0618-4d41-a944-d767a69826fa	Quentin Potter	Candidate for Representative	1	100000	1	2020-08-28	2020-08-28
5a8a21dd-c027-4417-bb00-4d4de6e90c0a	Rey Arellano	Council Member	elected	false	AUS	H6CA49136	72f921de-7e5f-4bb1-976d-364abed7a26d	Julian Arellano	Candidate for Representative	1	100000	1	2025-05-15	2025-05-15
83f08955-3355-4d11-bccd-bdf2edfeb987	Monica Kaspar	Council Member	elected	false	AUS	H2IL06132	08de7133-05fe-46a6-8f42-f6a045c8bc5a	Scott Kaspar	Candidate for Representative	1	66900	1	2022-05-22	2022-05-22
70d9bb3e-fe77-4a84-80df-19b8438b3bf9	Esther Montoya	Council Member	elected	false	AUS	H6AZ01413	0120c84e-f115-4e1c-a825-84d18a68c383	Angie Montoya	Candidate for Representative	1	50000	1	2025-12-06	2025-12-06
1ecfb3dc-8518-4312-8b93-d83f09de9d09	Elizabeth Funk	Council Member	elected	false	AUS	H0IL12092	04156415-6982-4034-8d6b-a2571f357504	Joel Funk	Candidate for Representative	1	25000	1	2020-01-03	2020-01-03
1be32f77-f96b-4750-a525-32252b6357b4	Bridget Molina	Council Member	elected	false	SEA	H0FL27034	2e37cd4e-0b79-43b8-b1ab-44e64995404d	Raymond Molina	Candidate for Representative	0	0	0		
f74db873-83e5-4ae8-a413-c0fa39d6ec92	Lynne Howe	Council Member	elected	false	SF	H2NY14102	eceebdb3-ebf9-4c17-bbf2-6da7071aedbf	Jonathan Howe	Candidate for Representative	0	0	0		
4a329d76-9eab-476d-a2da-8697cc6fd004	Jennifer Scaife	Council Member	elected	false	SF	H0IN01218	5c6419d8-eec7-4c2e-8275-6b899481b1e7	Delano Scaife	Candidate for Representative	0	0	0		
9a90c180-784c-4c4f-be50-fc1cda3c4db5	Ana Alvarez	Council Member	elected	false	SF	H2TX22134	a2ad60ea-831b-4248-bad6-ebc39bf7a259	Andrew Alvarez	Candidate for Representative	0	0	0		
1af0bfa9-6265-4439-86b8-27eaf801a807	Wilson Ng	Council Member	elected	false	SF	H2TX28123	198022b8-7e88-43fd-b435-5c050bc6ccfe	Willie Ng	Candidate for Representative	0	0	0		
0da32baf-54c5-4ec2-b9b8-ea5c5e3fe5ce	Victor Lim	Council Member	elected	false	SF	H0TX07212	bc9e5262-0820-4ba0-a633-eaa339e95810	Kenny Lim	Candidate for Representative	0	0	0		
1dd2bbc1-eb34-47f2-8665-d30cde9f9d72	Gary McCoy	Council Member	elected	false	SF	H2GA07162	31a29413-9a74-4b4e-821d-e81abc4f4e4e	Lisa Mccoy	Candidate for Representative	0	0	0		
b3111f47-533f-498c-b231-907ebc108170	Martha Yanez	Council Member	elected	false	SF	H2MI10168	4405d480-5cf5-486a-8033-4e162710a1b6	Henry Yanez	Candidate for Representative	0	0	0		
e5b84a0b-ce52-46bf-b03b-df0b906de08d	Shiamala Choudhury	Council Member	elected	false	SF	H8NY05123	70ced120-41b8-4c8f-b738-7ae15a3b9238	Mizanur Choudhury	Candidate for Representative	0	0	0		
13a2a60c-b9f5-40c0-8c1f-c8ed00188f6a	Ruth Dalrymple	Council Member	elected	false	AUS	H0NJ05182	7d898f9b-cef9-46a5-944c-d326c390c3f9	Jon Dalrymple	Candidate for Representative	0	0	0		
25eb5c3c-a4a0-4f66-bab5-787b5a8a7dec	Taras Madison	Council Member	elected	false	SF	H2CA09147	60d6951e-eeb1-4dc7-915f-291cf50c8dd0	Jonathan Madison	Candidate for Representative	0	0	0		
7a09f33c-7291-43a1-8e25-15f28b201ead	Mary Hays	Council Member	elected	false	SF	H2AR03283	30678ef9-0836-4fc2-b4ee-07b69b619ba3	Lauren Hays	Candidate for Representative	0	0	0		
26790bac-6339-458d-87c5-5b631ce2e90d	Guianna Henriquez	Council Member	elected	false	SF	H0PR01059	7ce656ac-9383-43bf-a006-8d1701ccb9a0	Ada Henriquez	Candidate for Representative	0	0	0		
542b95a1-7721-4102-a536-7343e31c601f	Christine Fountain	Council Member	elected	false	SF	H0CA53222	b9c78308-9f9f-480b-8cdb-7e36fc193e07	Joseph Fountain	Candidate for Representative	0	0	0		
42fa3208-4b30-49f9-95c3-6d780e3010f7	Catherine Dodd	Council Member	elected	false	SF	S0CT00037	ddf158a9-cab5-444f-af25-53c062aed855	Christopher Dodd	Candidate for Senator	0	0	0		
456cca4c-d6d7-47ad-874a-45a192993ef1	Aaron Starr	Council Member	elected	false	SF	H6MD05347	0d180ec5-fab8-4993-b108-0162d9d7c59e	Tracy Starr	Candidate for Representative	0	0	0		
