branch	decided_by	official_id	full_name	tier	is_active	role_title	jurisdiction	stored_fec_id	totals_table_cents	donation_cents	donation_rows	first_at	last_at	twin_id	twin_name	twin_tier	twin_fec_id	twin_fec_state	state_agrees	twin_total_cents	shared_pairs	overlap_frac
UNIQUE HOLDER		346fabb6-fb16-4dca-8203-572333cc44b7	Jordan Feldman	elected	false	Council Member	AUS	H4NC10146	1150500	1150500	19	2024-03-26	2026-01-16	24e0596f-75a0-4c97-9976-3dd9e1fd71fb	Steven Feldman	candidate	H4NC10146	NC	false	1150500	19	1.0000
UNIQUE HOLDER		e3f8781d-7ab8-4b55-be88-4d8976b2c8dc	Jane Roth	elected	true	Federal Judge	US		1130000	1130000	3	2025-11-09	2025-12-31								0	0.0000
UNIQUE HOLDER		ee09025f-9725-4e29-9198-7d7eee8cb1c6	Starr Terrell	elected	false	Council Member	SF	H6IA01171	1082500	1082500	4	2025-07-10	2025-09-30	93ef269d-13d1-4471-8576-a968b65b0b6e	Travis Terrell	candidate	H6IA01171	IA	false	1107500	4	1.0000
UNIQUE HOLDER		575ab5cc-73c5-4353-9dae-44ed83a77e72	James Wilkinson	elected	true	Federal Judge	US		1000000	1000000	1	2023-09-29	2023-09-29	ccc2dae3-e54a-48ef-9e98-25d70ce31183	Margarita Wilkinson	candidate	H4CA49164	CA	false	31593000	1	1.0000
UNIQUE HOLDER		f590f383-5e5b-4e36-9299-af40602cf5b4	Janell Wegman	elected	false	Council Member	SF	H6PA16338	1000000	1000000	2	2020-10-21	2020-10-23	67794597-cc1b-424a-bc6f-04e48ec91cc9	Gary Wegman	candidate	H6PA16338	PA	false	3230100	2	1.0000
UNIQUE HOLDER		f9c370ec-f992-45f8-bbc1-b4a0b23e2bb8	Dominica Henderson	elected	false	Council Member	SF	H4OH02263	875000	875000	5	2020-03-03	2024-01-18	2d97645c-3d46-4ad4-abcc-a7d70332a2da	Matthew Henderson	candidate	H4OH02263	OH	false	75000	2	0.4000
UNIQUE HOLDER		4a05256c-a1d0-4dad-b0ad-412ca3894235	Julie Christensen	elected	true	Council Member	SF	H0UT04092	860000	860000	3	2020-02-18	2020-10-22	84d1800d-b95e-4411-9693-f4958a6b85f2	Adam Christensen	candidate	H0FL03183	FL	false	2095100	2	0.6667
UNIQUE HOLDER		f04faa85-2feb-4967-b921-c6b1dd125832	Quynh Pham	elected	false	Council Member	SEA	H4CA45154	836100	836100	6	2023-04-28	2023-09-30	7b63444a-5e59-45a8-8af7-af1ca1128de1	Jimmy Pham	candidate	H4CA45154	CA	false	836100	6	1.0000
UNIQUE HOLDER		d93454b4-36e2-4311-8f8c-3828e9c696cc	Sharon Patterson	elected	false	Council Member	AUS	H6TX17119	748000	748000	6	2019-09-27	2020-10-21	b50a061d-ffac-4a44-b7ee-d0aaef646015	Robert Patterson	candidate	H0CA07137	CA	false	2908000	4	0.6667
UNIQUE HOLDER		0c9201de-4378-4b99-a612-afd602531e7b	Ralph Winter	elected	true	Federal Judge	US		725000	725000	4	2019-06-13	2022-02-24	b8b51b23-fef5-468e-842f-ec35949c6421	Thomas Winter	candidate	H0MT00090	MT	false	12677400	4	1.0000
UNIQUE HOLDER		65eb956f-b5ee-438f-964c-339301201dd0	Brent Lo	elected	false	Council Member	SEA	H0MN04197	700000	700000	2	2020-05-06	2020-08-08	68e5f14b-d4f5-49d7-bfd3-6af13c00ce30	Sia Lo	candidate	H0MN04197	MN	false	1270000	2	1.0000
UNIQUE HOLDER		ffd9233e-1d94-44c9-b455-99e241a2e52c	Andres Power	elected	false	Council Member	SF	H6FL02315	700000	700000	3	2026-01-14	2026-02-04	b9ea5760-23b1-4804-92c7-c99f7ce6bae6	Evan Power	candidate	H6FL02315	FL	false	26200100	3	1.0000
UNIQUE HOLDER		feb35388-9d04-4e75-864f-233735093de1	Leslie Katz	elected	false	Council Member	SF	S6DE00206	550000	550000	3	2026-03-04	2026-03-05	8cbfbcf5-6355-4415-9205-3bdef483c152	Mike Katz	candidate	H6CA17224	CA	false	1000000	2	0.6667
UNIQUE HOLDER		67360001-e42f-4565-ae13-0a5fe13b0a84	John Nalbandian	elected	true	Federal Judge	US		500000	500000	1	2020-10-16	2020-10-16	5fa5f1c4-3a87-47b6-a3a2-b6cfe70ae362	Johnny Nalbandian	candidate	H0CA27127	CA	false	1324000	1	1.0000
UNIQUE HOLDER		96b19b40-342c-4177-81fe-640ab442423b	Jema Turk	elected	false	Council Member	SF	H6MO05189	500000	500000	1	2022-10-24	2022-10-24	11079e2b-d7ee-4487-a71c-90e49c65fb8f	Jacob Turk	candidate	H6MO05189	MO	false	2335000	1	1.0000
UNIQUE HOLDER		58ce8329-87e5-40f5-8648-f71ef87185ef	Bobby Shepherd	elected	true	Federal Judge	US		500000	500000	1	2020-03-12	2020-03-12	7b4e1779-a8df-45b0-a5e1-e450d1c172ea	Mark Shepherd	candidate	H0UT01155	UT	false	1970000	1	1.0000
UNIQUE HOLDER		4986dce6-cece-4a44-a73c-b42f13f04421	Diane Wood	elected	true	Federal Judge	US		500000	500000	1	2024-02-01	2024-02-01	af5faf34-f359-4eab-bfa8-d5598a1e9597	Marisa Wood	candidate	H2CA23155	CA	false	35622300	1	1.0000
UNIQUE HOLDER		4969d074-ab5d-49bf-9261-bb6c1fb129b0	Helene White	elected	true	Federal Judge	US		500000	500000	1	2024-07-06	2024-07-06	6512e084-a8bf-46c1-a4a3-f707a5b4bea0	Royce White	candidate	S4MN00502	MN	false	59661800	1	1.0000
UNIQUE HOLDER		f8eb4447-778f-44f8-a912-2e88094c005c	Rich Bailey	elected	false	Council Member	AUS	H2CA52154	500000	500000	1	2021-09-22	2021-09-22	ec060d19-20b0-43f3-8773-fc3998fb6f24	Richard Bailey	candidate	H2CA52154	CA	false	48103000	1	1.0000
UNIQUE HOLDER		c7975ec7-ff24-49db-a707-d225cb1abc73	Maria Stuart	elected	false	Council Member	AUS	S4OH00226	480000	480000	6	2023-08-22	2023-09-28	279bfb8d-b9d1-48bd-ae69-e2202d736a1c	Douglas Stuart	candidate	S4OH00226	OH	false	480000	6	1.0000
UNIQUE HOLDER		f4745d1c-c3d4-46c3-a230-e95deb529140	John Carroll	elected	false	Council Member	SF	P00013771	396600	396600	1	2020-10-28	2020-10-28	cd99d5b3-ae47-4d58-8019-9c76d35ba0b8	Brian Carroll	candidate	P00013771	00	false	396600	1	1.0000
UNIQUE HOLDER		9f0b4952-f622-4720-8e7c-498bba257508	Dori Cho	elected	false	Council Member	SEA	H4NJ05135	330000	330000	2	2024-10-09	2025-10-09	be16c671-7aeb-4e5c-befb-2b2681b6c4bf	Roy Cho	candidate	H4NJ05135	NJ	false	420000	2	1.0000
UNIQUE HOLDER		3992716c-3e98-4f50-9757-ae76b083d73c	Tom Fulmer	elected	false	Council Member	AUS	H6SC01300	295000	295000	4	2025-12-12	2026-03-18	69d1921f-ec28-4c3f-9836-640903d3c525	Matthew Fulmer	candidate	H6SC01300	SC	false	385000	4	1.0000
UNIQUE HOLDER		535dd9cb-fef0-4a15-a408-5f96b04c5460	Chelsea Pfeifer	elected	false	Council Member	AUS	H4MO02108	275000	275000	5	2024-03-27	2024-06-22	66f6ac6a-7565-45d3-ae08-9bd1ce1afe7f	Peter Pfeifer	candidate	H4MO02108	MO	false	275000	5	1.0000
UNIQUE HOLDER		d8fa25bb-8dbe-405e-bcb1-e0755e4c61f3	Elizabeth Branch	elected	true	Federal Judge	US		275000	275000	5	2019-12-18	2020-02-04	caa482f7-0b25-4f90-b042-5af8892821ab	Talmadge Branch	candidate	H0MD07130	MD	false	2280000	5	1.0000
UNIQUE HOLDER		c57ad7b9-7328-405f-a0d5-7e17d380b2e0	Leslie Tello	elected	false	Council Member	AUS	H6IL07479	260000	260000	2	2025-09-05	2025-09-18	22eaa53d-127a-4fd4-af5f-251260fdd983	Felix Tello	candidate	H6IL07479	IL	false	260000	2	1.0000
UNIQUE HOLDER		1bb47808-7952-4bf6-b45e-74992c889b6f	Michelle Rich	elected	false	Council Member	AUS	S8NM00200	250000	250000	1	2019-09-24	2019-09-24	6fa9f68f-138f-4e92-9f30-c025b8679d30	Mick Rich	candidate	S8NM00200	NM	false	4245000	1	1.0000
UNIQUE HOLDER		22991297-c7ce-4e67-a8d6-163c242173c2	Michael Murphy	former	true	Federal Judge	US		250000	250000	2	2023-05-24	2023-06-06	19610aca-7617-42bf-86d8-273e3eb1f75d	Michael Murphy	candidate	H4MN02151	MN	false	250000	2	1.0000
UNIQUE HOLDER		1295f5c5-5c73-4b59-9bd6-8fc37b4d1ba7	Ammie Calderon	elected	false	Council Member	AUS	H0CA53131	250000	250000	1	2019-11-26	2019-11-26	21f01e25-0291-4b06-8a53-ca56eccf09e2	Marisa Calderon	candidate	H0CA53131	CA	false	250000	1	1.0000
UNIQUE HOLDER		fd98e2eb-019e-4298-a7e7-f046a1edf439	Phimy Truong	elected	false	Council Member	SF	H0VA10194	230000	230000	1	2020-05-16	2020-05-16	17e78ec9-9a16-4160-a418-aaa039deddcd	Matthew Truong	candidate	H0VA10194	VA	false	230000	1	1.0000
UNIQUE HOLDER		79103a92-0f8d-4973-b5a2-a5c8ab1a7e2b	AnMarie Rodgers	elected	false	Council Member	SF	H2TX30236	200000	200000	1	2022-11-02	2022-11-02	2d28bff8-558a-4a0c-a35a-03052ed1fe4e	James Rodgers	candidate	H2TX30236	TX	false	4275000	1	1.0000
UNIQUE HOLDER		a9983f2f-aa61-4e8c-815d-d5abd5c24176	Alvin Moses	elected	false	Council Member	SF	S4TN00575	177500	177500	4	2024-06-07	2024-10-19	387218d1-adcd-4b3e-9815-8560382fc441	Pamela Moses	candidate	S4TN00575	TN	false	177500	4	1.0000
UNIQUE HOLDER		6541e5cd-3a36-4031-be26-9c209c46557d	Kimberly Williams	elected	false	Council Member	AUS	H0CA16112	175000	175000	2	2019-08-16	2020-02-25	03a7b402-4a13-4fa3-8d13-2963d3f54c82	Kim Williams	candidate	H0CA16112	CA	false	175000	2	1.0000
UNIQUE HOLDER		d6b6852c-91ec-4f69-ba87-2dae66ada1ea	Walter Stapleton	elected	true	Federal Judge	US		125000	125000	2	2021-07-27	2023-11-14	7afac3b9-9f6f-4ccb-9e15-3aed238c2409	Baxter Stapleton	candidate	H2OH10252	OH	false	732400	1	0.5000
UNIQUE HOLDER		42305735-9ea0-4c1d-a56d-c7110fc28e7b	Richard Greene	elected	false	Council Member	SEA		120000	120000	3	2024-01-15	2024-10-29								0	0.0000
